domain,path,type,media_name,state_abbr,countyFIPS,is_local_news_site
clintonitem.com,,newspaper,The Item,MA,25027,
thelandmark.com,,newspaper,The Landmark,MA,25027,
leominsterchamp.com,,newspaper,Leominster Champion,MA,25027,
millburysutton.com,,newspaper,The Millbury-Sutton Chronicle,MA,25027,
arenacindependent.com,,newspaper,Arenac County Independent,MI,26011,
leavenworthtimes.com,,newspaper,The Leavenworth Times,KS,20103,
mcphersonsentinel.com,,newspaper,The McPherson Sentinel,KS,20113,
republic-online.com,,newspaper,The Miami County Republic,KS,20121,
tricountytribune.news,,newspaper,Tri-County Tribune,KS,20151,
wellingtondailynews.com,,newspaper,The Wellington Daily News,KS,20191,
alexandriatimes-tribune.com,,newspaper,Alexandria Times-Tribune,IN,18095,
elwoodcall-leader.com,,newspaper,The Elwood Call-Leader,IN,18095,
tiptoncountytribune.com,,newspaper,Tipton County Tribune,IN,18159,
registerpublications.com,,newspaper,Register Publications,IN,18029,
hamburgreporter.com,,newspaper,Hamburg Reporter,IA,19071,
atchisonglobenow.com,,newspaper,Atchison Globe,KS,20005,
hiawathaworldonline.com,,newspaper,Hiawatha World,KS,20013,
butlercountytimesgazette.com,,newspaper,The Butler County Times-Gazette,KS,20015,
hdnews.net,,newspaper,The Hays Daily News,KS,20051,
gctelegram.com,,newspaper,The Garden City Telegram,KS,20055,
dodgeglobe.com,,newspaper,Dodge City Daily Globe,KS,20057,
ottawaherald.com,,newspaper,Ottawa Herald,KS,20059,
thekansan.com,,newspaper,The Newton Kansan,KS,20079,
beardstownnewspapers.com,,newspaper,Cass County Star-Gazette,IL,17017,
mccallstarnews.com,,newspaper,Star-News,ID,16085,
lajuntatribunedemocrat.com,,newspaper,La Junta Tribune-Democrat,CO,08089,
thechronicle-news.com,,newspaper,Chronicle-News,CO,08071,
areawidenews.com,,newspaper,Areawide News,AR,05135,
starheraldnews.com,,newspaper,Pocahontas Star Herald,AR,05121,
emountainwave.com,,newspaper,Marshall Mountain Wave,AR,05129,
carrollconews.com,,newspaper,Carroll County News,AR,05015,
lovelycitizen.com,,newspaper,Lovely County Citizen,AR,05015,
cctimesdemocrat.com,,newspaper,Clay County Times-Democrat,AR,05021,
claycountyliving.com,,newspaper,Clay County Courier,AR,05021,
bcdemocratonline.com,,newspaper,Bent County Democrat,CO,08011,
vernalexpressnews.com,,newspaper,Vernal Express,UT,49047,
unitahbasinstandard.com,,newspaper,Uintah Basin Standard,UT,49013,
richfieldreaper.com,,newspaper,Richfield Reaper,UT,49041,
brownwoodtx.com,,newspaper,Brownwood Bulletin,TX,48049,
midlothianmirror.com,,newspaper,The Midlothian Mirror,TX,48139,
waxahachietx.com,,newspaper,Waxahachie Daily Light,TX,48139,
yourstephenvilletx.com,,newspaper,Stephenville Empire-Tribune,TX,48143,
