scope,url,media_name,media_type,media_focus,language,domain,state_abbr
National,http://www.usatoday.com/,USA Today,NP,GI,ENG,usatoday.com,na
National,http://www.washingtonpost.com/,Washington Post,NP,GI,ENG,washingtonpost.com,na
National,http://www.airforcetimes.com/,Air Force Times,NP,ML,ENG,airforcetimes.com,na
National,http://www.armytimes.com/,Army Times,NP,ML,ENG,armytimes.com,na
National,http://www.marinetimes.com/,Marine Corps Times,NP,ML,ENG,marinetimes.com,na
National,http://www.navytimes.com/,Navy Times,NP,ML,ENG,navytimes.com,na
National,https://www.stripes.com/,Stars and Stripes,NP,ML,ENG,stripes.com,na
National,http://www.theonion.com/,Onion,NP,SR,ENG,theonion.com,na
National,http://www.ncregister.com/,National Catholic Register,NP,RL,ENG,ncregister.com,na
National,http://ncronline.org/,National Catholic Reporter,NP,RL,ENG,ncronline.org,na
National,http://www.businesswire.com/portal/site/home/,Business Wire,PA,BU,ENG,businesswire.com,na
National,http://www.splashnews.com/,Splash,PA,EN,ENG,splashnews.com,na
National,http://www.24-7pressrelease.com/,24 7 Press Release,PA,GI,ENG,24-7pressrelease.com,na
National,https://www.apnews.com/,Associated Press,PA,GI,ENG,apnews.com,na
National,https://www.apnews.com/apf-Noticias,Associated Press,PA,GI,SPA,apnews.com,na
National,http://www.creators.com/,Creators Syndicate,PA,GI,ENG,creators.com,na
National,http://www.dolanmedianewswires.com/,Dolan Media Newswires,PA,GI,ENG,dolanmedianewswires.com,na
National,http://www.einpresswire.com/,EIN Press Wire,PA,GI,ENG,einpresswire.com,na
National,http://www.mcclatchydc.com/,McClatchy,PA,GI,ENG,mcclatchydc.com,na
National,https://www.nytsyn.com/,New York Times News Service and,PA,GI,ENG,nytsyn.com,na
National,http://www.prnewswire.com/,PR Newswire,PA,GI,ENG,prnewswire.com,na
National,http://www.pressrelease365.com/,Press Release 365,PA,GI,ENG,pressrelease365.com,na
National,https://www.reuters.com/,Reuters,PA,GI,ENG,reuters.com,na
National,http://www.shns.com/,Scripps Howard News Service,PA,GI,ENG,shns.com,na
National,http://www.scrippsnews.com/,Scripps News,PA,GI,ENG,scrippsnews.com,na
National,http://www.upi.com/,UPI,PA,GI,ENG,upi.com,na
National,http://www.worldjewishnewsagency.org/,World Jewish News Agency,PA,RL,ENG,worldjewishnewsagency.org,na
State,http://www.al.com/,Al,IN,GI,ENG,al.com,al
State,http://alabamanewscenter.com/,Alabama News Center,IN,GI,ENG,alabamanewscenter.com,al
State,http://www.alreporter.com/,Alabama Political Reporter,IN,GI,ENG,alreporter.com,al
State,http://apr.org/,Alabama Public Radio,BC,GI,ENG,apr.org,al
State,https://alabamaradionetwork.iheart.com/,Alabama Radio Network,BC,GI,ENG,alabamaradionetwork.iheart.com,al
State,http://www.alabama.statenews.net/,State News,IN,GI,ENG,www.alabama.statenews.net,al
State,http://yellowhammernews.com/,Yellowhammer,IN,GI,ENG,yellowhammernews.com,al
Alabaster,http://www.alabasterreporter.com/,Alabaster Reporter,NP,GI,ENG,alabasterreporter.com,al
Albertville,http://www.sandmountainreporter.com/,Sand Mountain Reporter,NP,GI,ENG,sandmountainreporter.com,al
Albertville,http://thesportsledger.com/,Sports Ledger,NP,SP,ENG,thesportsledger.com,al
Alexander City,http://www.alexcityoutlook.com/,Outlook,NP,GI,ENG,alexcityoutlook.com,al
Andalusia,http://www.andalusiastarnews.com/,Andalusia Star News,NP,GI,ENG,andalusiastarnews.com,al
Anniston,http://www.annistonstar.com/,Anniston Star,NP,GI,ENG,annistonstar.com,al
Arab,http://www.arab-today.com/,Arab Today,IN,GI,ENG,arab-today.com,al
Arab,http://www.thearabtribune.com/,Arab Tribune,NP,GI,ENG,thearabtribune.com,al
Athens,http://www.enewscourier.com/,News Courier,NP,GI,ENG,enewscourier.com,al
Atmore,http://www.atmoreadvance.com/,Atmore Advance,NP,GI,ENG,atmoreadvance.com,al
Atmore,http://www.atmorenews.com/,Atmore News,NP,GI,ENG,atmorenews.com,al
Auburn,http://www.theplainsman.com/,Auburn Plainsman,NP,CO,ENG,theplainsman.com,al
Auburn,http://www.auburnvillager.com/,Auburn Villager,NP,GI,ENG,auburnvillager.com,al
Auburn,http://www.oanow.com/the_corner_news/,Corner,NP,AL,ENG,oanow.com,al
Auburn,http://wani1400.com/,WANI,BC,GI,ENG,wani1400.com,al
Bay Minette,http://www.gulfcoastnewstoday.com/the_baldwin_times/,Baldwin Times,NP,GI,ENG,gulfcoastnewstoday.com,al
Birmingham,http://www.thealabamabaptist.org/,Alabama Baptist,NP,RL,ENG,thealabamabaptist.org,al
Birmingham,http://www.alabamamessenger.com/,Alabama Messenger,NP,LG,ENG,alabamamessenger.com,al
Birmingham,http://www.bizjournals.com/birmingham/,Birmingham Business Journal,NP,BU,ENG,bizjournals.com,al
Birmingham,http://www.al.com/bhammag/,Birmingham Magazine,MG,BU,ENG,al.com,al
Birmingham,http://www.birminghamnews.net/,Birmingham News,IN,GI,ENG,birminghamnews.net,al
Birmingham,http://www.al.com/birminghamnews/,Birmingham News,NP,GI,ENG,al.com,al
Birmingham,http://www.birminghamstar.com/,Birmingham Star,IN,GI,ENG,birminghamstar.com,al
Birmingham,http://www.birminghamtimes.com/,Birmingham Times,NP,ET,ENG,birminghamtimes.com,al
Birmingham,http://www.bwcitypaper.com/,Black and White,NP,AL,ENG,bwcitypaper.com,al
Birmingham,https://www.latino-news.com/,Latino News,NP,ET,SPA,latino-news.com,al
Birmingham,https://www.bhmdiocese.org/one-voice,One Voice,NP,RL,ENG,bhmdiocese.org,al
Birmingham,http://www.theredmountainpost.com/,Red Mountain Post,IN,GI,ENG,theredmountainpost.com,al
Birmingham,http://samfordcrimson.com/,Samford Crimson,NP,CO,ENG,samfordcrimson.com,al
Birmingham,http://www.sjlmag.com/,Southern Jewish Life,MG,RL,ENG,sjlmag.com,al
Birmingham,http://bhamterminal.com/,Terminal,IN,GI,ENG,bhamterminal.com,al
Birmingham,http://www.1070wapi.com/,WAPI,BC,GI,ENG,1070wapi.com,al
Birmingham,https://www.wbhm.org/,WBHM,BC,GI,ENG,wbhm.org,al
Birmingham,http://www.abc3340.com/,WBMA,BC,GI,ENG,abc3340.com,al
