classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
local,local,1,advancetitan.com,advance-titan,WI,http://www.advancetitan.com,atitan,,https://www.facebook.com/pages/The-Advance-Titan/130372970370790,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advertiser-tribune.com,advertiser-tribune,OH,http://www.advertiser-tribune.com,AdvertiserTrib,http://www.youtube.com/user/TheAdvertiserTribune,https://www.facebook.com/AdvertiserTribune,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advertiserdemocrat.com,advertiser democrat,ME,http://advertiserdemocrat.com,AdvDem,,https://www.facebook.com/pages/Advertiser-Democrat/146017835422698,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advertisergleam.com,advertiser-gleam,AL,http://www.advertisergleam.com,,,https://www.facebook.com/advertisergleam,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advertisernewsnorth.com,advertiser-news,NJ,http://www.advertisernewsnorth.com,,,https://www.facebook.com/theadvnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advisor-chronicle.com,advisor & chronicle,MI,http://advisor-chronicle.com,,,https://www.facebook.com/pages/Ad-visorchronicle/249726268411143?sk=timeline,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advocate-news.com,fort bragg advocate-news,CA,http://www.advocate-news.com,FBAdvocateNews,http://www.youtube.com/user/FBAdvocateNews,https://www.facebook.com/FortBraggAdvocateNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advocate-online.net,advocate,OR,http://www.advocate-online.net,mhccadvocate,http://www.youtube.com/user/MHCCAdvocate,http://www.facebook.com/TheAdvocateOnline,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,advocate.com,,,,,,,,,,
local,local,1,advocateanddemocrat.com,monroe county advocate,TN,http://www.advocateanddemocrat.com,,http://www.youtube.com/user/AdvocateDemocrat,https://www.facebook.com/pages/The-Advocate-Democrat/100854392011,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,advocatepress.com,clay county advocate-press,IL,http://www.advocatepress.com,,,https://www.facebook.com/ClayCountyAdvocatePress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,adweek.com,,,,,,,,,,
national,national,0,aei.org,,,,,,,,,,
local,local,1,aetn.org,kets,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,aetn.org,kaft,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,aetn.org,ketz,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,aetn.org,ktej,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,2018-08-02 14:55:24.612585,stationindex
international,international,0,af.reuters.com,,,,,,,,,,
international,international,0,afr.com,,,,,,,,,,
international,international,0,africanarguments.org,,,,,,,,,,
international,international,0,africanews.com,,,,,,,,,,
national,regional-national,0,afro.com,baltimore afro american,MD,http://www.afro.com,afronews,,https://www.facebook.com/AfroAmericanNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,agalert.com,ag alert,CA,http://www.agalert.com,cafarmbureau,http://www.youtube.com/calfarmbureau,https://www.facebook.com/cafarmbureau,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,agjournalonline.com,ag journal,CO,http://www.agjournalonline.com,,,https://www.facebook.com/pages/Ag-Journal/134006649997395,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,agri-pulse.com,,,,,,,,,,
local,local,1,ahwatukee.com,ahwatukee foothills news,AZ,http://www.ahwatukee.com,ahwatukeefn,,https://www.facebook.com/pages/Ahwatukee-Foothills-News/42435708153,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,aikenstandard.com,aiken standard,SC,http://www.aikenstandard.com,aikenstandard,https://www.youtube.com/user/aikenstandard,https://www.facebook.com/aikenstandard,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,ainonline.com,,,,,,,,,,
local,local,1,ainsworthnews.com,ainsworth star-journal,NE,http://www.ainsworthnews.com,,,https://www.facebook.com/ainsworthnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ainsworthnews.com,valentine midland news,NE,http://www.ainsworthnews.com/valentine-midland-news,,,https://www.facebook.com/pages/Midland-News-and-Printing/157775567590671,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ainsworthnews.com,gregory times-advocate,SD,https://www.ainsworthnews.com/gregory-times-advocate,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,airforcetimes.com,air force times,VA,http://www.airforcetimes.com,airforcetimes,,https://www.facebook.com/AirForceTimes,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,local-regional,1,ajc.com,atlanta journal-constitution,GA,http://www.ajc.com,ajc,http://www.youtube.com/user/ajcvideo,https://www.facebook.com/ajc,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,local-regional,1,ajc.com,atlanta journal constitution,GA,http://www.ajc.com,ajc,http://www.youtube.com/user/ajcvideo,https://www.facebook.com/ajc,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ajnews.com,apache junction news,AZ,http://www.ajnews.com,,,https://www.facebook.com/pages/The-Apache-JunctionGold-Canyon-News/273405053419,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akbizmag.com,ak business monthly,AK,http://www.akbizmag.com,AKBusinessMonth,,https://www.facebook.com/AKBusinessMonth,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akron.com,akron.com,OH,http://www.akron.com,Akrondotcom,,https://www.facebook.com/akrondotcom,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akronhometowner.com,hometowner,IA,http://akronhometowner.com,akronht,,https://www.facebook.com/pages/The-Akron-Hometowner/100574473356649,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akronlegalnews.com,akron legal news,OH,http://www.akronlegalnews.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akronlife.com,akron life,OH,http://www.akronlife.com,akronlifemag,http://www.youtube.com/user/akronlifemag,https://www.facebook.com/akronlife,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,akronnewsreporter.com,akron news-reporter,CO,http://www.akronnewsreporter.com,AkronNewsReport,,https://www.facebook.com/AkronNewsReporter,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,aksuperstation.com,katn,AK,http://www.aksuperstation.com/,,,,Smith Media,TV station,2018-08-02 14:55:24.612585,stationindex
international,international,0,al-monitor.com,,,,,,,,,,
regional,regional,1,al.com,birmingham news,AL,http://www.al.com/birmingham,ALcomBirmingham,,https://www.facebook.com/birminghamnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,regional,1,al.com,huntsville times,AL,http://www.al.com/huntsville,ALcomHuntsville,,https://www.facebook.com/huntsvilletimes,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,regional,1,al.com,press-register,AL,http://www.al.com/mobile,alcommobile,,https://www.facebook.com/PressRegisterConnect,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alabama.travel,bureau of tourism & travel,AL,http://alabama.travel,TweetHomeAla,http://www.youtube.com/user/Alabamatourism,https://www.facebook.com/AlabamaTravel,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alabamamessenger.com,alabama messenger,AL,http://www.alabamamessenger.com,,,https://www.facebook.com/pages/The-Alabama-Messenger/471601942875195,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alabamanews.net,wncf,AL,http://www.alabamanews.net/,,,,SagamoreHill Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,alachuatoday.com,alachua today,FL,http://www.alachuatoday.com,,http://www.youtube.com/user/AlachuaCountyToday,https://www.facebook.com/ACTNEWS,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alamedasun.com,alameda sun,CA,http://www.alamedasun.com,Alameda_Sun,,https://www.facebook.com/alameda.sun.1,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alamogordonews.com,alamogordo daily news ,NM,http://www.alamogordonews.com,alamogordonews,http://www.youtube.com/user/AlamogordoDailyNews,https://www.facebook.com/pages/Alamogordo-Daily-News/124307640925620,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alamosanews.com,valley courier,CO,http://www.alamosanews.com,,,https://www.facebook.com/pages/Alamosa-Valley-Courier/141175752647498,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alaska broadcast television,kcft-lp,AK,Alaska Broadcast Television,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,alaska.edu,whalesong,AK,http://www.uas.alaska.edu/juneau/activities/whalesong,,,https://www.facebook.com/UASWhalesong,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alaskaadventures.net,austins alaska adventures,AK,http://www.alaskaadventures.net,,,,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alaskajournal.com,alaska journal of commerce,AK,http://www.alaskajournal.com,alaskajournal,http://www.youtube.com/user/AlaskaJournal,https://www.facebook.com/AlaskaJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
