domain,target_community
legacynewspaper.com,Black
vinegarhillmagazine.com,Black
thenewjournalandguide.com,Black
richmondfreepress.com,Black
theroanoketribune.org,Black
tudecidesmedia.com,Hispanic
elsietedias.com,Hispanic
nwasianweekly.com,Asian
nvnorthwest.com,Asian
seattlechinesepost.com,Asian
thefactsnewspaper.com,Black
seattlemedium.com,Black
chineseradioseattle.com,Asian
larazanw.com,Hispanic
elsoldeyakima.com,Hispanic
wisconsinlcnews.com,Hispanic
themadent.com,Black
wnov860.com,Black
telemundowi.com,Hispanic
milwaukeecourieronline.com,Black
communityjournal.net,Black
milwaukeetimesnews.com,Black
conquistadornews.com,Hispanic
radiobilingue.org,Hispanic
boldlatina.com,Hispanic
vidanewspaper.com,Hispanic
tribunact.com,Hispanic
latinonewsnetwork.com,Hispanic
insightnews.com,Black
radioambulante.org,Hispanic
hbctv.net,Asian
285south.com,Asian
alotusinthemud.com,Asian
aattv.com,Asian
afikra.com,Asian
akhonsamoy.com,Asian
alentesharnewspaper.com,Asian
alhawadeth.net,Asian
watan.com,Asian
907korean.com,Asian
allewaaalarabi.com,Asian
americankahani.com,Asian
amtvusa.tv,Asian
angryasianman.com,Asian
anisatlanta.com,Asian
captivate.fm,Asian
apnapunjabmedia.com,Asian
applehouston.tv,Asian
arabamerica.com,Asian
arabastoria.com,Asian
ardzagangtv.com,Asian
groong.com,Asian
armenianweekly.com,Asian
aroosmagazine.com,Asian
asamnews.com,Asian
asbarez.com,Asian
aseantribune.com,Asian
asiatoday.com,Asian
asiatodayaz.com,Asian
asianamericannewsnetwork.com,Asian
asianamericana.com,Asian
asianfortunenews.com,Asian
wordpress.com,Asian
amamedia.org,Asian
asianmedianetwork.com,Asian
asianmediausa.com,Asian
asianreporter.com,Asian
asianwisconzine.com,Asian
aslipunjabi.com,Asian
asreemrooz1.com,Asian
anbsat.com,Asian
atlantachosun.com,Asian
atlantak.com,Asian
austinsouthasian.com,Asian
austinvietradio.com,Asian
azindiatimes.com,Asian
azkoreapost.com,Asian
azeriamericanews.com,Asian
azi.media,Asian
baaznews.org,Asian
balikbayanmagazine.com,Asian
balitangnewyork.com,Asian
banglanewyork.com,Asian
banglapatrikausa.com,Asian
beiruttimes.com,Asian
bigstrawmagazine.com,Asian
blindian-project.com,Asian
bolly923fm.com,Asian
bornomalanews.com,Asian
bostonchinesenews.com,Asian
bostonkorea.com,Asian
bridgemagazineusa.com,Asian
browngirlmagazine.com,Asian
buffalobangla.com,Asian
bukharianjewishlink.com,Asian
bukhariantimes.org,Asian
burdockmedia.com,Asian
yonhapkoreannews.com,Asian
beehiiv.com,Asian
chalamannewyork.com,Asian
channeltt.tv,Asian
charactermedia.com,Asian
chicagochinesetimes.com,Asian
chicagoinarabic.com,Asian
chikinmelele.com,Asian
chikkamagazine.com,Asian
chimetv.co,Asian
chinainsight.info,Asian
chinajournal.news,Asian
cnd.org,Asian
chinastarnews.com,Asian
chineseamericanpost.com,Asian
chinesedaily.com,Asian
chineseinla.com,Asian
new-new.com,Asian
chineseradionetwork.online,Asian
